conceptId,conceptName,vocabularyId,domainId,standardConcept,conceptInSet,rc,dc,drc,dbc
4178680,Degenerative disorder of musculoskeletal system,SNOMED,Condition,S,Not included - parent,1511,3,1325410060,22
4134443,Disorder of knee,SNOMED,Condition,S,Not included - recommended via source,1622282,14,583754090,22
4324765,Arthropathy of knee joint,SNOMED,Condition,S,Not included - recommended via source,92990521,14,533871430,22
80816,Degeneration of intervertebral disc,SNOMED,Condition,S,Not included - descendant,132492508,20,287454982,21
444206,Arthropathy of pelvis,SNOMED,Condition,S,Not included - recommended via source,9987611,14,240614441,22
40482662,Disorder of joint of ankle and/or foot,SNOMED,Condition,S,Not included - recommended via source,11860423,14,220566261,21
40484571,Disorder of joint of shoulder region,SNOMED,Condition,S,Not included - recommended via source,2605209,14,135187909,21
4048684,Lumbosacral spondylosis,SNOMED,Condition,S,Not included - descendant,1822586,15,86858995,16
80813,Lumbosacral spondylosis without myelopathy,SNOMED,Condition,S,Not included - descendant,82356941,14,82357241,14
314131,Degeneration of cervical intervertebral disc,SNOMED,Condition,S,Not included - descendant,77934545,21,80050948,21
443769,Degeneration of lumbar intervertebral disc,SNOMED,Condition,S,Not included - descendant,51617313,15,68460047,15
80494,Arthropathy associated with another disorder,SNOMED,Condition,S,Not included - recommended via source,139175,18,59853078,21
443582,Arthropathy of joint of hand,SNOMED,Condition,S,Not included - recommended via source,5713648,16,59045655,21
4323893,Arthropathy of elbow,SNOMED,Condition,S,Not included - recommended via source,930787,14,57603528,22
141941,Cervical spondylosis without myelopathy,SNOMED,Condition,S,Not included - descendant,56259352,14,56259552,14
72990,Localized osteoarthrosis uncertain if primary OR secondary,SNOMED,Condition,S,Not included - recommended via source,41165702,14,41165702,14
72990,Localized osteoarthrosis uncertain if primary OR secondary,SNOMED,Condition,S,Not included - descendant,41165702,14,41165702,14
72990,Localized osteoarthrosis uncertain if primary OR secondary,SNOMED,Condition,S,Not included - recommended via standard,41165702,14,41165702,14
77639,Diffuse cervicobrachial syndrome,SNOMED,Condition,S,Not included - descendant,35522824,19,35522824,19
438531,Chondromalacia,SNOMED,Condition,S,Not included - descendant,4442408,21,35500150,21
4323193,Disorder of wrist joint,SNOMED,Condition,S,Not included - recommended via source,2158325,14,30499267,21
81378,Chondromalacia of patella,SNOMED,Condition,S,Not included - descendant,27562198,21,27577334,21
74132,Degeneration of lumbosacral intervertebral disc,SNOMED,Condition,S,Not included - descendant,16842234,14,16842234,14
434123,Primary localized osteoarthrosis of pelvic region,SNOMED,Condition,S,Not included - recommended via source,14211583,14,14211583,14
434123,Primary localized osteoarthrosis of pelvic region,SNOMED,Condition,S,Not included - recommended via standard,14211583,14,14211583,14
434123,Primary localized osteoarthrosis of pelvic region,SNOMED,Condition,S,Not included - descendant,14211583,14,14211583,14
4096347,Gouty arthropathy,SNOMED,Condition,S,Not included - descendant,11094316,14,11094316,14
198520,Lumbar spondylosis with myelopathy,SNOMED,Condition,S,Not included - descendant,10744406,14,10744406,14
442775,Degeneration of thoracic intervertebral disc,SNOMED,Condition,S,Not included - descendant,5217832,14,8566582,15
76194,Osteoarthrosis involving multiple sites but not designated as generalized,SNOMED,Condition,S,Not included - recommended via source,8139571,14,8139571,14
76194,Osteoarthrosis involving multiple sites but not designated as generalized,SNOMED,Condition,S,Not included - descendant,8139571,14,8139571,14
76194,Osteoarthrosis involving multiple sites but not designated as generalized,SNOMED,Condition,S,Not included - recommended via standard,8139571,14,8139571,14
4076026,Localized chondromalacia,SNOMED,Condition,S,Not included - descendant,3374143,13,3374143,13
4068617,Lumbosacral spondylosis with radiculopathy,SNOMED,Condition,S,Not included - descendant,2676741,13,2677162,13
4183031,Degeneration of cervicothoracic intervertebral disc,SNOMED,Condition,S,Not included - descendant,2116003,13,2116003,13
4274404,Calcification of joint,SNOMED,Condition,S,Not included - descendant,413,2,1803215,20
434449,Degeneration of thoracolumbar intervertebral disc,SNOMED,Condition,S,Not included - descendant,1232247,14,1232247,14
40479260,Chondrocalcinosis of knee joint,SNOMED,Condition,S,Not included - descendant,1044962,14,1046295,14
79119,Thoracic spondylosis with myelopathy,SNOMED,Condition,S,Not included - descendant,1017287,14,1017587,14
4103372,Primary localized osteoarthrosis of multiple sites,SNOMED,Condition,S,Not included - recommended via source,900369,13,900369,13
4103372,Primary localized osteoarthrosis of multiple sites,SNOMED,Condition,S,Not included - recommended via standard,900369,13,900369,13
4103372,Primary localized osteoarthrosis of multiple sites,SNOMED,Condition,S,Not included - descendant,900369,13,900369,13
74722,Secondary localized osteoarthrosis of pelvic region,SNOMED,Condition,S,Not included - descendant,385573,16,385573,16
74722,Secondary localized osteoarthrosis of pelvic region,SNOMED,Condition,S,Not included - recommended via source,385573,16,385573,16
74722,Secondary localized osteoarthrosis of pelvic region,SNOMED,Condition,S,Not included - recommended via standard,385573,16,385573,16
4116451,Erosive osteoarthrosis,SNOMED,Condition,S,Not included - descendant,372907,18,372907,18
4116451,Erosive osteoarthrosis,SNOMED,Condition,S,Not included - recommended via standard,372907,18,372907,18
4068616,Thoracic spondylosis with radiculopathy,SNOMED,Condition,S,Not included - descendant,276284,14,276484,14
435038,Crystal arthropathy of wrist,SNOMED,Condition,S,Not included - descendant,17138,13,145908,17
437629,Chondrocalcinosis due to dicalcium phosphate crystals,SNOMED,Condition,S,Not included - descendant,123019,13,145393,13
40479241,Chondrocalcinosis of wrist joint,SNOMED,Condition,S,Not included - descendant,130261,14,130461,14
439901,Chondrocalcinosis due to pyrophosphate crystals,SNOMED,Condition,S,Not included - descendant,82153,15,121679,15
4216873,Relapsing polychondritis,SNOMED,Condition,S,Not included - descendant,105283,17,105483,17
40485405,Chondrocalcinosis of joint of hand,SNOMED,Condition,S,Not included - descendant,72203,14,82264,14
74444,Crystal arthropathy of knee,SNOMED,Condition,S,Not included - descendant,81031,13,81276,13
4250767,Chronic tophaceous gout,SNOMED,Condition,S,Not included - descendant,17785,11,77582,12
78506,Kashin-Beck disease of multiple sites,SNOMED,Condition,S,Not included - descendant,77313,13,77313,13
40483814,Chondrocalcinosis of joint of pelvis,SNOMED,Condition,S,Not included - descendant,19985,14,47365,14
46270429,Chronic tophaceous gout due to renal impairment,SNOMED,Condition,S,Not included - descendant,6427,12,47150,12
40479259,Chondrocalcinosis of joint of ankle AND/OR foot,SNOMED,Condition,S,Not included - descendant,37970,13,42821,13
72709,Crystal arthropathy of multiple sites,SNOMED,Condition,S,Not included - descendant,41728,14,41728,14
40479244,Chondrocalcinosis of shoulder region,SNOMED,Condition,S,Not included - descendant,34229,13,39366,13
76500,Crystal arthropathy of hand,SNOMED,Condition,S,Not included - descendant,19081,13,34955,13
4101425,Gouty tophus of hand,SNOMED,Condition,S,Not included - descendant,27578,12,27578,12
40479662,Chondrocalcinosis of hip joint,SNOMED,Condition,S,Not included - descendant,27080,12,27380,12
74445,Crystal arthropathy of shoulder region,SNOMED,Condition,S,Not included - descendant,16272,13,25643,13
73287,Crystal arthropathy of ankle AND/OR foot,SNOMED,Condition,S,Not included - descendant,25218,13,25218,13
46270425,Chronic tophaceous gout of multiple sites due to renal impairment,SNOMED,Condition,S,Not included - descendant,17519,12,17519,12
432394,"Chondrocalcinosis due to pyrophosphate crystals, of multiple sites",SNOMED,Condition,S,Not included - descendant,16910,13,16910,13
40479661,Chondrocalcinosis of elbow joint,SNOMED,Condition,S,Not included - descendant,15716,13,15916,13
46270450,Chronic tophaceous gout caused by drug,SNOMED,Condition,S,Not included - descendant,2848,10,12647,11
36717013,Chondromalacia of right patella,SNOMED,Condition,S,Not included - descendant,11606,1,11606,1
46270416,Chronic tophaceous gout of ankle due to renal impairment,SNOMED,Condition,S,Not included - descendant,10726,10,10726,10
79107,"Chondrocalcinosis-pyrophosphate crystals, of the hand",SNOMED,Condition,S,Not included - descendant,9761,13,9761,13
75037,Kashin-Beck disease of the ankle and/or foot,SNOMED,Condition,S,Not included - descendant,8315,12,8315,12
77073,Kashin-Beck disease of the hand,SNOMED,Condition,S,Not included - descendant,7849,12,7849,12
77953,Crystal arthropathy of hip,SNOMED,Condition,S,Not included - descendant,7020,13,7020,13
439678,Kashin-Beck disease of the shoulder region,SNOMED,Condition,S,Not included - descendant,6998,11,6998,11
440170,"Chondrocalcinosis due to dicalcium phosphate crystals, of multiple sites",SNOMED,Condition,S,Not included - descendant,6537,13,6537,13
73554,Kashin-Beck disease of the pelvic region and thigh,SNOMED,Condition,S,Not included - descendant,6491,12,6491,12
80797,"Chondrocalcinosis due to dicalcium phosphate crystals, of the hand",SNOMED,Condition,S,Not included - descendant,6113,12,6113,12
76499,"Chondrocalcinosis due to pyrophosphate crystals, of the shoulder region",SNOMED,Condition,S,Not included - descendant,4937,13,4937,13
46270420,Chronic tophaceous gout of hand due to renal impairment,SNOMED,Condition,S,Not included - descendant,4859,11,4859,11
77353,"Chondrocalcinosis due to pyrophosphate crystals, of the ankle and foot",SNOMED,Condition,S,Not included - descendant,4751,13,4751,13
77632,"Chondrocalcinosis due to dicalcium phosphate crystals, of the shoulder region",SNOMED,Condition,S,Not included - descendant,4434,12,4434,12
73550,Crystal arthropathy of elbow,SNOMED,Condition,S,Not included - descendant,4062,12,4062,12
77633,"Chondrocalcinosis due to dicalcium phosphate crystals, of the ankle and foot",SNOMED,Condition,S,Not included - descendant,3639,12,3639,12
42535491,Chondromalacia of left patella,SNOMED,Condition,S,Not included - descendant,3530,2,3530,2
46270435,Chronic tophaceous gout of ankle and/or foot caused by drug,SNOMED,Condition,S,Not included - descendant,3120,11,3120,11
433844,"Chondrocalcinosis due to pyrophosphate crystals, of the pelvic region and thigh",SNOMED,Condition,S,Not included - descendant,2922,12,2922,12
46270424,Chronic tophaceous gout of knee due to renal impairment,SNOMED,Condition,S,Not included - descendant,2450,11,2450,11
4066603,Lumbosacral spondylosis with myelopathy,SNOMED,Condition,S,Not included - descendant,1806,2,2006,2
46270418,Chronic tophaceous gout of elbow due to renal impairment,SNOMED,Condition,S,Not included - descendant,1763,10,1763,10
4178931,Degenerative tear of triangular fibrocartilage complex of wrist,SNOMED,Condition,S,Not included - descendant,1455,2,1741,2
433281,"Chondrocalcinosis due to dicalcium phosphate crystals, of the pelvic region and thigh",SNOMED,Condition,S,Not included - descendant,1651,12,1651,12
4181453,Kashin-Beck disease of spine,SNOMED,Condition,S,Not included - descendant,1647,11,1647,11
46270444,Chronic tophaceous gout of multiple sites caused by drug,SNOMED,Condition,S,Not included - descendant,1536,10,1536,10
4181963,Degeneration of internal semilunar cartilage,SNOMED,Condition,S,Not included - descendant,1395,2,1395,2
46270431,Chronic tophaceous gout of wrist due to renal impairment,SNOMED,Condition,S,Not included - descendant,1306,9,1306,9
4344390,Intervertebral disk calcification,SNOMED,Condition,S,Not included - descendant,800,8,1300,9
46270438,Chronic tophaceous gout of hand caused by drug,SNOMED,Condition,S,Not included - descendant,1236,10,1236,10
4302891,Stickler syndrome,SNOMED,Condition,S,Not included - descendant,1074,2,1074,2
46270436,Chronic tophaceous gout of elbow caused by drug,SNOMED,Condition,S,Not included - descendant,1071,10,1071,10
46270440,Chronic tophaceous gout of hip caused by drug,SNOMED,Condition,S,Not included - descendant,1016,7,1016,7
40487917,Heterotopic ossification of joint,SNOMED,Condition,S,Not included - descendant,100,1,979,2
37108883,Degenerative rupture of medial meniscus of left knee,SNOMED,Condition,S,Not included - descendant,819,1,919,1
37110374,Ossification of spinal ligament,SNOMED,Condition,S,Not included - descendant,100,1,879,2
37108884,Degenerative rupture of medial meniscus of right knee,SNOMED,Condition,S,Not included - descendant,775,1,875,1
46270442,Chronic tophaceous gout of knee caused by drug,SNOMED,Condition,S,Not included - descendant,820,8,820,8
46270452,Chronic tophaceous gout of wrist caused by drug,SNOMED,Condition,S,Not included - descendant,800,8,800,8
46270422,Chronic tophaceous gout of hip due to renal impairment,SNOMED,Condition,S,Not included - descendant,800,8,800,8
46273508,Chronic tophaceous gout of vertebra due to renal impairment,SNOMED,Condition,S,Not included - descendant,700,7,700,7
4236035,Ossification of posterior longitudinal ligament,SNOMED,Condition,S,Not included - descendant,479,2,679,2
46273507,Chronic tophaceous gout of shoulder due to renal impairment,SNOMED,Condition,S,Not included - descendant,600,6,600,6
37108597,Chondrocalcinosis of joint of right knee,SNOMED,Condition,S,Not included - descendant,575,1,575,1
37108598,Chondrocalcinosis of joint of left knee,SNOMED,Condition,S,Not included - descendant,513,1,513,1
4215655,Tibial plateau chondromalacia,SNOMED,Condition,S,Not included - descendant,482,3,482,3
4264472,Pellegrini-Stieda syndrome,SNOMED,Condition,S,Not included - descendant,308,2,308,2
4035434,Chondrocalcinosis due to pyrophosphate crystals of the knee,SNOMED,Condition,S,Not included - descendant,245,2,245,2
37108998,Degenerative rupture of lateral meniscus of right knee,SNOMED,Condition,S,Not included - descendant,209,1,209,1
4323570,Secondary localized osteoarthrosis of multiple sites,SNOMED,Condition,S,Not included - descendant,201,2,201,2
