conceptId,isExcluded,includeDescendants,includeMapped,conceptName,vocabularyId,standardConcept,invalidReason,conceptCode,conceptClassId,domainId,rc,dbc,drc,ddbc
4352046,FALSE,TRUE,FALSE,"Enterocolitis, Neutropenic",NDFRT,N,V,N0000011122,Ind / CI,Drug,0,0,0,0
3054658,FALSE,TRUE,FALSE,Colitis-X,Nebraska Lexicon,N,D,86604004,Clinical Finding,Condition,0,0,0,0
3182069,FALSE,TRUE,FALSE,Salmonella serotype B enterocolitis,Nebraska Lexicon,S,V,21160001000004104,Clinical Finding,Condition,0,0,0,0
3177910,FALSE,TRUE,FALSE,Ulcerative colitis identified in colorectal surgical sample,Nebraska Lexicon,S,V,1280001000004100,Observable Entity,Observation,0,0,0,0
40392931,FALSE,TRUE,FALSE,Spastic colon,SNOMED,N,D,197124009,Clinical Finding,Condition,0,0,0,0
75580,FALSE,TRUE,FALSE,Chronic ulcerative proctitis,SNOMED,S,V,52231000,Clinical Finding,Condition,1340136,20,1992695,20
4272488,FALSE,TRUE,FALSE,Colitis,SNOMED,S,V,64226004,Clinical Finding,Condition,70373,6,53148557,22
4135981,FALSE,TRUE,FALSE,Extent of colitis,SNOMED,S,V,263526007,Attribute,Observation,0,0,0,0
38000144,FALSE,TRUE,FALSE,Ischaemic colitis (narrow),SMQ,C,V,121,SMQ,Condition,0,0,0,0
4347356,FALSE,TRUE,FALSE,"Enterocolitis, Necrotizing",NDFRT,N,V,N0000004121,Ind / CI,Drug,0,0,0,0
1766739,FALSE,TRUE,FALSE,bismuth 30[hp_C]/mL ORAL PELLET [colitis],SPL,C,V,2a04fcb1-4755-4ca6-8ef7-79ca3894ddbd,OTC Drug,Drug,0,0,0,0
4342907,FALSE,TRUE,FALSE,"Enterocolitis, Pseudomembranous",NDFRT,N,V,N0000001110,Ind / CI,Drug,0,0,0,0
4232113,FALSE,TRUE,FALSE,Colitis cystica profunda,SNOMED,S,V,40663003,Clinical Finding,Condition,0,0,0,0
4341828,FALSE,TRUE,FALSE,"Dysentery, Amebic",NDFRT,N,V,N0000001017,Ind / CI,Drug,0,0,0,0
44807226,FALSE,TRUE,FALSE,NEC - necrotising enterocolitis,SNOMED,S,V,805601000000103,Clinical Finding,Condition,0,0,0,0
46269974,FALSE,TRUE,FALSE,History of ischemic colitis,SNOMED,S,V,1099621000119102,Context-dependent,Observation,0,0,0,0
46362373,FALSE,TRUE,FALSE,COLITIS - bismuth pellet,NDC,N,V,64117011601,11-digit NDC,Drug,0,0,0,0
45882056,FALSE,TRUE,FALSE,Ulceritive Colitis,LOINC,S,V,LA10556-1,Answer,Meas Value,0,0,0,0
37116301,FALSE,TRUE,FALSE,Secondary autoimmune hemolytic anemia co-occurrent and due to ulcerative colitis,SNOMED,S,V,732966008,Clinical Finding,Condition,0,0,0,0
4027025,FALSE,TRUE,FALSE,Infection by Giardia lamblia,SNOMED,S,V,10679007,Clinical Finding,Condition,0,0,0,0
