conceptId,isExcluded,includeDescendants,includeMapped,conceptName,vocabularyId,standardConcept,invalidReason,conceptCode,conceptClassId,domainId,rc,dbc,drc,ddbc
317576,FALSE,TRUE,FALSE,Coronary arteriosclerosis,SNOMED,S,V,53741008,Clinical Finding,Condition,8778590,21,334919780,21
725125,FALSE,TRUE,FALSE,Noninvasive estimated coronary fractional flow reserve (FFR) derived from coronary computed tomography angiography data using computation fluid dynamics physiologic simulation software analysis of functional data to assess the severity of coronary arte...,CPT4,C,V,1031065,CPT4 Hierarchy,Procedure,0,0,0,0
1002267,FALSE,TRUE,FALSE,Genetic risk score for coronary heart disease,LOINC,S,V,93306-9,Clinical Observation,Measurement,0,0,0,0
1014041,FALSE,TRUE,FALSE,Coronary artery disease risk factor panel,LOINC,N,V,LP193302-9,LOINC Component,Observation,0,0,0,0
1014826,FALSE,TRUE,FALSE,Premature coronary artery disease,LOINC,N,V,LP207937-6,LOINC Component,Observation,0,0,0,0
1033994,FALSE,TRUE,FALSE,Coronary artery disease in last 7 days,LOINC,N,V,LP89996-0,LOINC Component,Observation,0,0,0,0
2617523,FALSE,TRUE,FALSE,Prior myocardial infarction - coronary artery disease patient documented to be on beta-blocker therapy,HCPCS,S,V,G8033,HCPCS,Observation,0,0,0,0
2617524,FALSE,TRUE,FALSE,Prior myocardial infarction - coronary artery disease patient not documented to be on beta-blocker therapy,HCPCS,S,V,G8034,HCPCS,Observation,0,0,0,0
2617525,FALSE,TRUE,FALSE,Clinician documented that prior myocardial infarction - coronary artery disease patient was not eligible candidate for beta-blocker therapy measure,HCPCS,S,V,G8035,HCPCS,Observation,0,0,0,0
2617526,FALSE,TRUE,FALSE,Coronary artery disease patient documented to be on antiplatelet therapy,HCPCS,S,V,G8036,HCPCS,Observation,0,0,0,0
2617527,FALSE,TRUE,FALSE,Coronary artery disease patient not documented to be on antiplatelet therapy,HCPCS,S,V,G8037,HCPCS,Observation,0,0,0,0
2617528,FALSE,TRUE,FALSE,Clinician documented that coronary artery disease patient was not eligible candidate for antiplatelet therapy measure,HCPCS,S,V,G8038,HCPCS,Observation,0,0,0,0
2617529,FALSE,TRUE,FALSE,Coronary artery disease - patient with low-density lipoprotein documented to be greater than 100mg/dl,HCPCS,S,V,G8039,HCPCS,Observation,0,0,0,0
2617530,FALSE,TRUE,FALSE,Coronary artery disease - patient with low-density lipoprotein documented to be less than or equal to 100mg/dl,HCPCS,S,V,G8040,HCPCS,Observation,0,0,0,0
2617531,FALSE,TRUE,FALSE,Clinician documented that coronary artery disease patient was not eligible candidate for low-density lipoprotein measure,HCPCS,S,V,G8041,HCPCS,Observation,0,0,0,0
2617888,FALSE,TRUE,FALSE,I intend to report the coronary artery disease (cad) measures group,HCPCS,S,V,G8489,HCPCS,Observation,0,0,0,0
2617897,FALSE,TRUE,FALSE,All quality actions for the applicable measures in the coronary artery disease (cad) measures group have been performed for this patient,HCPCS,S,V,G8498,HCPCS,Observation,0,0,0,0
2721037,FALSE,TRUE,FALSE,"Lifestyle modification program for management of coronary artery disease, including all supportive services; first quarter / stage",HCPCS,S,V,S0340,HCPCS,Observation,0,0,0,0
2721038,FALSE,TRUE,FALSE,"Lifestyle modification program for management of coronary artery disease, including all supportive services; second or third quarter / stage",HCPCS,S,V,S0341,HCPCS,Observation,0,0,0,0
2721039,FALSE,TRUE,FALSE,"Lifestyle modification program for management of coronary artery disease, including all supportive services; fourth quarter / stage",HCPCS,S,V,S0342,HCPCS,Observation,0,0,0,0
3168727,FALSE,TRUE,FALSE,History of coronary artery disease,Nebraska Lexicon,S,V,4230001000004102,Context-dependent,Observation,0,0,0,0
4080593,FALSE,TRUE,FALSE,Syphilitic coronary artery disease,SNOMED,S,V,240567009,Clinical Finding,Condition,0,0,0,0
4119952,FALSE,TRUE,FALSE,Cardiac syndrome X,SNOMED,S,V,233845001,Clinical Finding,Condition,0,0,0,0
4128423,FALSE,TRUE,FALSE,Duke's coronary artery disease score,SNOMED,S,V,304915008,Staging / Scales,Measurement,0,0,0,0
4130012,FALSE,TRUE,FALSE,Hashitoxicosis - transient,SNOMED,S,,237500008,Clinical Finding,Condition,0,0,0,0
4162739,FALSE,TRUE,FALSE,Diffuse disease of coronary artery,SNOMED,S,V,371915000,Clinical Finding,Condition,0,0,0,0
4177223,FALSE,TRUE,FALSE,History of percutaneous transluminal coronary angioplasty,SNOMED,S,V,428308007,Context-dependent,Observation,0,0,0,0
4180760,FALSE,TRUE,FALSE,History of placement of stent for coronary artery disease,SNOMED,S,V,428375006,Context-dependent,Observation,0,0,0,0
4326027,FALSE,TRUE,FALSE,Family history of coronary arteriosclerosis,SNOMED,S,V,430091005,Context-dependent,Observation,0,0,0,0
4341435,FALSE,TRUE,FALSE,Coronary Artery Disease,NDFRT,N,V,N0000000856,Ind / CI,Drug,0,0,0,0
21491691,FALSE,TRUE,FALSE,Coronary artery disease risk factor panel,LOINC,S,V,78940-4,Clinical Observation,Measurement,0,0,0,0
21494240,FALSE,TRUE,FALSE,Family history of Premature coronary artery disease,LOINC,S,V,80985-5,Clinical Observation,Observation,0,0,0,0
